player_id,RB,RWB,RM,RWF,RF,RCB,RDM,RCM,RAM,RCF,CB,CDM,CM,CAM,CF,LCB,LDM,LCM,LAM,LCF,LB,LWB,LM,LWF,LF,actual_position,team,match_id
10960.0,0.0040420757338357986,0.00982542732308609,0.018833482177065902,0.028848055962538012,0.034927601683600706,0.006448973070012397,0.017015911599938705,0.03690881305367887,0.06671322434470446,0.09218253817004148,0.006384496944384387,0.018447981256967887,0.04543662311064905,0.09581347082101364,0.1504112459364975,0.003906275943344243,0.012310602059383145,0.033085239026626266,0.07331151610293797,0.11750274638876698,0.0015700949594058236,0.005494384575767021,0.016699572789478617,0.03976818943270699,0.06411145753356813,Left Center Forward,Leicester City,3754058
28782.0,0.018721348610548964,0.06241819613222802,0.15358341530715994,0.2790361766243552,0.3744908636217445,0.0009650258081489503,0.004249585867452801,0.01377461572279932,0.03288444923119412,0.05785125626325013,6.619829636983367e-06,3.907206510002416e-05,0.00016941116951288323,0.0005398760214810413,0.0012651075662785392,5.587408256573395e-09,4.460116191233423e-08,2.612054549311648e-07,1.122841900106406e-06,3.5443926637929063e-06,5.555541391234043e-13,6.0277318071491476e-12,4.793892660827182e-11,2.7959878629202247e-10,1.1963985182946048e-09,Right Back,Leicester City,3754058
40123.0,0.010652486150136569,0.00484207366476948,0.0013555602920881466,0.000456547275646723,0.00017713060848245348,0.049787851889694576,0.027863770293191082,0.01168898087013052,0.004765782970413219,0.0017000901024160503,0.13798515311154996,0.08984357858974554,0.044262639046034474,0.018249214775926954,0.005975017662401643,0.16478561729993257,0.12194666893132135,0.07546680175776974,0.04578972725925196,0.029488671031932295,0.07135212667963904,0.04683341971137332,0.02297060721558093,0.009036976191163898,0.0027235066194074395,Left Center Back,Leicester City,3754058
3049.0,0.07997152078855502,0.09770286981701266,0.09984591709603521,0.08866294568276659,0.06860935475823278,0.059760956172842994,0.073240179929429,0.07749075722157726,0.07135406305878529,0.056351675329012064,0.02672871245605029,0.0342218477248591,0.03796061513953666,0.036065169579790377,0.028952396786238795,0.007752410425775284,0.01050406389708473,0.012146037551363916,0.011855050838281913,0.00970757005126877,0.001528972635571113,0.002173211635711364,0.0026023838794994574,0.0026136362830081897,0.002197681261711191,Right Midfield,AFC Bournemouth,3754058
3085.0,0.017101832492288617,0.024103308698098316,0.02806569126984558,0.02696931994342487,0.02137080303142876,0.024657676686743332,0.038383911274568416,0.04930470857690743,0.05223002102053216,0.04562018319817697,0.025013139582887953,0.042969114481481066,0.06086127856620718,0.07107571062322822,0.06846442926913686,0.017866684599344974,0.03383131962941456,0.052800974710887086,0.06796364177638911,0.07221706617736848,0.008994110711150582,0.018743717945409907,0.032201929330298654,0.04566350776280451,0.05352591864197639,Center Forward,AFC Bournemouth,3754058
3304.0,0.011424336357635402,0.01411840417027558,0.013757883859340429,0.010529456018744773,0.006307767294343439,0.02730022110365956,0.03508881940409568,0.035442750156377476,0.02807903974033975,0.017428126004562013,0.04403889345474437,0.05912893781468457,0.062363468186710326,0.0516604234742421,0.03363315181864436,0.048016310867885936,0.06764961341859185,0.07499162189247281,0.06548267285954379,0.04511226140711129,0.03541999220440532,0.0525892979485734,0.06160464629431927,0.0570336330685873,0.041798271180109065,Left Center Midfield,AFC Bournemouth,3754058
3341.0,0.038030210820226173,0.017246315406554504,0.004317410564500998,0.000655932753930133,8.53776485751056e-05,0.06870401120138256,0.04247289372152937,0.015480487946761004,0.003890650814685568,0.0009001308319537564,0.10139508352147122,0.0801684609791024,0.041305810837185306,0.01532982004064531,0.004699239302112833,0.1322087389001364,0.1091534070883628,0.0644302093624059,0.02760993688088603,0.009121338570268684,0.0871315602108905,0.06946681951378739,0.04169494437568039,0.018413219483366133,0.0060879892235995905,Left Center Back,AFC Bournemouth,3754058
3343.0,0.04588665378177048,0.054384852984495136,0.0566286852815266,0.0516369978376016,0.04115124773683185,0.05492738891348697,0.06666537240233669,0.07070734229201886,0.06539955855000863,0.05270864173440741,0.04320417585677171,0.0532841671701791,0.05721032163454404,0.0534412374147258,0.043454278952815284,0.02359916899049766,0.02914554257254353,0.03125591311119631,0.029132822743846647,0.023647219640804067,0.00936521544672532,0.011390210401805299,0.012006861223440735,0.010993850433907187,0.008772272891713,Right Center Midfield,AFC Bournemouth,3754058
3344.0,0.023050364751914472,0.018656364205358916,0.013696386420275472,0.009026491514234626,0.005007880808837354,0.051971214205124884,0.040958782837449026,0.029652975103661546,0.01994284354107074,0.011501781865874966,0.08526055182953723,0.07227601438617824,0.054303947093015795,0.0369081759408132,0.021449880132908564,0.07553505658567375,0.07840305351142393,0.07133492927253798,0.05665899383447115,0.03764052765942531,0.0297824397359712,0.03713599063735541,0.041951197122410716,0.04205064403189805,0.035843512972577346,Center Defensive Midfield,AFC Bournemouth,3754058
3345.0,1.4113093513838692e-07,6.18487551740814e-08,2.4500429653727924e-08,8.791006576878435e-09,2.8713286554743924e-09,3.661786691199703e-05,2.1172737904918484e-05,1.1160217267272482e-05,5.40008308304993e-06,2.4227943921700053e-06,0.0024006992355415937,0.0018532503343818031,0.0013123786414752018,0.0008545387052220556,0.0005122503003377853,0.03981932405428101,0.03950070973308701,0.0353880885600135,0.028566877813649395,0.02073260410832734,0.1533790416126,0.17846712203337067,0.18512820646631745,0.17111619101982867,0.1408917045395518,Left Back,AFC Bournemouth,3754058
3346.0,0.0056296231398502835,0.012470396995867113,0.022990315470593763,0.03527663885138695,0.045052303085392986,0.010485723018547008,0.022555774199927135,0.04038163144575925,0.06017138609016757,0.07462518685515011,0.014331226015597805,0.029936870370766814,0.052047381005972365,0.07531359913995914,0.09070651872747044,0.014373744983392531,0.02915806240275346,0.049228779470659914,0.06917721833636445,0.08090932614132687,0.010579339791626324,0.020840664288424956,0.03416945591496613,0.04662827499213491,0.05296055926594159,Center Forward,AFC Bournemouth,3754058
3463.0,0.00026289390549774123,0.0003438231840923995,0.0004154817785674813,0.0004639119354434789,0.00047850571983624145,0.0011156063611330199,0.001435035369886361,0.0016937587517915913,0.001854920924664363,0.001896345281328203,0.005876189403436802,0.008204184420426096,0.009833801529524183,0.010299447661878746,0.009716682610323952,0.026867547205152064,0.04454796340857055,0.06273686198908013,0.07458925705097422,0.07520384959435542,0.06299790664928369,0.09905297152052155,0.1397873861209442,0.17373580421474422,0.18658986340854322,Left Midfield,AFC Bournemouth,3754058
3608.0,0.15370312946584955,0.14392827008280426,0.10149954716450278,0.052692885912671426,0.02132367457443021,0.15478033442427058,0.1194409288190844,0.07330993182953571,0.03818165010585234,0.016706556798147042,0.04251878853699438,0.031867138491423246,0.021139275775065854,0.011587614338241136,0.005132494535967866,0.004117229110613805,0.0034327722661356146,0.0023352666709510156,0.0012803796999689132,0.0005653385054104915,0.00015952294596350915,0.00013436885086988835,9.116694870391895e-05,4.981457585274761e-05,2.191957068933786e-05,Right Center Back,AFC Bournemouth,3754058
6409.0,0.15353611696414676,0.17003326605860453,0.16007338612156574,0.1289572570271684,0.0899870826863539,0.0482117474643218,0.056452445355251506,0.05494617339490483,0.04425002350116011,0.029527601792524023,0.008260845731980163,0.011456520332881732,0.012985197528777042,0.011986370037825992,0.008993365449338106,0.0010176555507327356,0.0016487446653014174,0.0021977987972930917,0.0023997453380849125,0.0021366043908591986,6.929655258898697e-05,0.0001295232917366623,0.00020288059174527985,0.00026257194655612874,0.0002777794282968184,Right Back,AFC Bournemouth,3754058
40218.0,6.789323474809388e-06,6.050769575937362e-08,1.0312741068464764e-10,3.2576001030644475e-14,1.907616125289825e-18,0.00204350545203695,5.666148011621514e-05,3.1335609722678595e-07,3.3029516117468227e-10,6.4437365096165e-14,0.0743889585070882,0.00599690082660612,0.000102312786042689,3.475012151935079e-07,2.249608279211279e-10,0.3724914492013153,0.08017383622701098,0.0039061012051840255,4.029126837264722e-05,8.299093604084885e-08,0.2853938570533824,0.15496927647235278,0.01985361543221847,0.0005721417925340505,3.4979578398866274e-06,Left Center Back,AFC Bournemouth,3754058
2966.0,0.06831143104310136,0.0985773621485357,0.12743780565481155,0.14322443856582356,0.13709159163987295,0.03423117630307268,0.05380014329321156,0.07271451278977471,0.08238596533088333,0.07730560776252594,0.01021282694654487,0.016256253367012807,0.021388161212893785,0.02310448367851339,0.02043935360942104,0.0016367973717300245,0.00246956300490566,0.0030442389494851328,0.0030639390737792144,0.002517261785831432,0.00011825451425364146,0.00016594582330670043,0.0001900162027718327,0.0001775324371872499,0.00013533749074995342,Right Midfield,West Bromwich Albion,3754245
3514.0,0.0007995160374251658,0.0013756878216078432,0.0019273666973271706,0.002198733796620158,0.002042444131061551,0.001787837510472181,0.002860073815979921,0.0037257887247553988,0.003952189903078634,0.003413699637613671,0.003508563276196226,0.005309554568771311,0.006638484530862943,0.0068554375228950075,0.005854764778261741,0.018177475178983896,0.028512143573539577,0.03955326079547493,0.04781204729203729,0.04963631276800781,0.0715243924680487,0.11288599774628831,0.16037792357300334,0.20121762374527624,0.21805268010641096,Left Midfield,West Bromwich Albion,3754245
3523.0,0.23697750909661436,0.17673393595627737,0.16830306458554595,0.14531620074695104,0.10934363731899353,0.045931318513074394,0.03824199404395632,0.031094249156663735,0.02214147867275568,0.013747688831014054,0.004135492806803269,0.0031552750830723996,0.002125582728021159,0.001256831466442124,0.0006518643442219578,0.0003260929731752625,0.0002294843046583151,0.00014222322790991443,7.762270216195534e-05,3.7308894615994473e-05,1.3427756670509584e-05,8.827993706155496e-06,5.111571069807967e-06,2.6066030676954034e-06,1.1706225569830018e-06,Right Back,West Bromwich Albion,3754245
3541.0,8.439423360088463e-06,2.918339978688485e-06,8.376788230083606e-07,1.9949226460262776e-07,3.939897991582059e-08,0.0003314991528142627,0.0001631175450247106,6.676875711629098e-05,2.2723531661975152e-05,6.42707237267863e-06,0.004419075599008701,0.0031005020640520894,0.0018188123684962471,0.0008913266863320688,0.0003648456105327284,0.043247241128024264,0.03911820350935101,0.030431723448739637,0.020196790796113192,0.011332479048351224,0.17458524743160211,0.20372150545811557,0.1975382375877716,0.15982968969387482,0.10880134917723852,Left Back,West Bromwich Albion,3754245
3596.0,0.18184129212444755,0.11429563859530878,0.03535964266061618,0.00536521863731795,0.00039733392262139604,0.21798023692555202,0.10809520993842045,0.030991015375678742,0.008951849320892255,0.004173606646403567,0.14111323978552892,0.06802350375181052,0.027283208779130173,0.011759374402967548,0.004623093572346769,0.02750759579393157,0.007526669461213203,0.0010080015971835146,6.575012962352619e-05,2.082304321652602e-06,0.002960916886805158,0.000610930825901714,6.151225379996994e-05,3.0054500815737843e-06,7.085809529257177e-08,Right Center Back,West Bromwich Albion,3754245
3967.0,0.028619889010845813,0.032100930687963956,0.03143635274333789,0.026933517545395,0.020123886261559122,0.04472131724027418,0.051284040854470435,0.04619215200700719,0.03293096808751566,0.018651191005628107,0.04751131215835981,0.0687108616967774,0.07168709371616015,0.05430863563257635,0.030324184649887353,0.041520832823710024,0.06288686672349997,0.06998739906477563,0.05666983635588353,0.03323298619861609,0.01993023696106804,0.03015951089365986,0.03398773165918359,0.02848342129896885,0.017604844722875917,Left Center Midfield,West Bromwich Albion,3754245
4022.0,0.02898079555668557,0.04124606533181684,0.048280656234194926,0.04445776775406691,0.032853947087501556,0.050336795847679756,0.07286951165177737,0.08320826229985095,0.06908259489109897,0.043949112919183186,0.04579134470270459,0.06607176755393014,0.07652897942498732,0.05862600031986348,0.032347412888815395,0.022230036840827538,0.03519246454210566,0.044246395341226694,0.03070565106957605,0.01469642971866102,0.006367587302676207,0.014418943077942802,0.02072844967131099,0.0122985653134736,0.004484462658042525,Right Center Midfield,West Bromwich Albion,3754245
4041.0,0.0035261132435700994,0.010192076441040603,0.02221196370439614,0.03650340227837081,0.04524223160098077,0.00746697207386769,0.021357470771006977,0.0460591474561911,0.0749042060927916,0.09186753673190488,0.009636275886065979,0.02727461218103494,0.05820650254338912,0.09367218592006225,0.11368848934955021,0.00758078808615146,0.02123283176039284,0.04484021507117343,0.07140942554695558,0.0857651941135233,0.0036344877244935928,0.010073399502361078,0.021051237607717065,0.03317485366429266,0.03942838064871584,Right Center Forward,West Bromwich Albion,3754245
